Summary,Issue key,Issue id,Issue Type,Status,,Project name,Project type,Project lead id,Project description,Priority,Assignee,Reporter,Creator,Created,Completed ,Due date,Watchers
Took interview of jaipur candidate Analystics /AI/ML named Sourabh Bohra,KAN-42,10360,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,ashishgauttamab,CTD,CTD,13-07-2026 13:14,21-07-2026 14:16,09-07-2026 00:00,CTD
IGRS mail initate for pending data.,KAN-44,10362,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,18-06-2026 13:32,21-07-2026 14:17,,CTD
"Create and demploy ""File Sharing Application-drive"" for team productivity",KAN-72,10742,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,19-06-2026 17:25,21-07-2026 14:17,,CTD
Dynamically add auth token on all the APIs' in utility service.,KAN-70,10740,Bug,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,vkush68,CTD,CTD,13-07-2026 13:09,21-07-2026 14:17,09-07-2026 00:00,CTD
API <> Settlement ledger Task | Level 3 API. Parameter Taxperiod & sf_id,KAN-60,10538,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,vkush68,CTD,CTD,13-07-2026 13:07,21-07-2026 14:17,10-07-2026 00:00,CTD
Registration Manual Sync dB schema creation,KAN-63,10605,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,10-06-2026 11:24,21-07-2026 14:20,,CTD
API & Schema modification for authentication token to include ek & App_key into response,KAN-68,10706,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,jitendrap38,CTD,CTD,09-07-2026 12:48,21-07-2026 14:20,,CTD
Core Utiltiy<> DB | Schema addition for settlement ledger.,KAN-67,10705,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,ashishgauttamab,CTD,CTD,21-07-2026 18:05,21-07-2026 18:05,,CTD
"Registraton manual sync API 4, 1) POST API, 2) GET all 3) Trigger API, 4) Export API",KAN-62,10604,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,ashishgauttamab,CTD,CTD,21-07-2026 14:22,21-07-2026 18:06,,CTD
Core Utiltiy <> API | Settlement ledger get api,KAN-64,10638,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,ashishgauttamab,CTD,CTD,21-07-2026 18:06,21-07-2026 18:06,,CTD
